
0,0,0
1,5,0
2,0,0
3,0,0
4,0,0
5,6,0
6,7,0
7,0,0
8,10,0
9,0,0
0,0,1
1,3,1
2,3,1
3,0,1
4,0,1
5,8,1
6,1,1
7,0,1
8,4,1
9,0,1
0,0,2
1,9,2
2,1,2
3,0,2
4,0,2
5,1,2
6,5,2
7,0,2
8,4,2
9,0,2
0,0,3
1,6,3
2,2,3
3,0,3
4,0,3
5,6,3
6,4,3
7,0,3
8,8,3
9,0,3
0,0,4
1,10,4
2,10,4
3,0,4
4,0,4
5,9,4
6,9,4
7,0,4
8,2,4
9,0,4
0,0,5
1,1,5
2,6,5
3,0,5
4,0,5
5,4,5
6,4,5
7,0,5
8,5,5
9,0,5
0,0,6
1,0,6
2,0,6
3,0,6
4,0,6
5,9,6
6,2,6
7,0,6
8,2,6
9,0,6
0,0,7
1,5,7
2,1,7
3,0,7
4,0,7
5,5,7
6,4,7
7,0,7
8,2,7
9,0,7
0,0,8
1,4,8
2,0,8
3,0,8
4,0,8
5,0,8
6,0,8
7,0,8
8,7,8
9,0,8
0,0,9
1,9,9
2,10,9
3,0,9
4,0,9
5,10,9
6,8,9
7,0,9
8,10,9
9,0,9
0,0,10
1,2,10
2,2,10
3,0,10
4,0,10
5,1,10
6,9,10
7,0,10
8,3,10
9,0,10
0,0,11
1,7,11
2,8,11
3,0,11
4,0,11
5,3,11
6,2,11
7,0,11
8,3,11
9,0,11
0,0,12
1,3,12
2,3,12
3,0,12
4,0,12
5,8,12
6,4,12
7,0,12
8,3,12
9,0,12
0,0,13
1,9,13
2,9,13
3,0,13
4,0,13
5,1,13
6,4,13
7,0,13
8,2,13
9,0,13
0,0,14
1,10,14
2,3,14
3,0,14
4,0,14
5,4,14
6,6,14
7,0,14
8,2,14
9,0,14
0,0,15
1,9,15
2,10,15
3,0,15
4,0,15
5,10,15
6,9,15
7,0,15
8,4,15
9,0,15
0,0,16
1,3,16
2,6,16
3,0,16
4,0,16
5,2,16
6,6,16
7,0,16
8,5,16
9,0,16
0,0,17
1,9,17
2,0,17
3,0,17
4,0,17
5,2,17
6,2,17
7,0,17
8,3,17
9,0,17
0,0,18
1,2,18
2,8,18
3,0,18
4,0,18
5,0,18
6,9,18
7,0,18
8,7,18
9,0,18
0,0,19
1,4,19
2,0,19
3,0,19
4,0,19
5,7,19
6,10,19
7,0,19
8,9,19
9,0,19
0,0,20
1,8,20
2,2,20
3,0,20
4,0,20
5,4,20
6,2,20
7,0,20
8,10,20
9,0,20
0,0,21
1,7,21
2,0,21
3,0,21
4,0,21
5,5,21
6,0,21
7,0,21
8,0,21
9,0,21
0,0,22
1,2,22
2,9,22
3,0,22
4,0,22
5,2,22
6,8,22
7,0,22
8,5,22
9,0,22
0,0,23
1,8,23
2,3,23
3,0,23
4,0,23
5,10,23
6,3,23
7,0,23
8,8,23
9,0,23
0,0,24
1,5,24
2,7,24
3,0,24
4,0,24
5,1,24
6,6,24
7,0,24
8,2,24
9,0,24
0,0,25
1,9,25
2,10,25
3,0,25
4,0,25
5,4,25
6,3,25
7,0,25
8,8,25
9,0,25
0,0,26
1,7,26
2,4,26
3,0,26
4,0,26
5,1,26
6,3,26
7,0,26
8,0,26
9,0,26
0,0,27
1,6,27
2,3,27
3,0,27
4,0,27
5,9,27
6,9,27
7,0,27
8,8,27
9,0,27
0,0,28
1,10,28
2,8,28
3,0,28
4,0,28
5,0,28
6,4,28
7,0,28
8,7,28
9,0,28
0,0,29
1,4,29
2,7,29
3,0,29
4,0,29
5,8,29
6,8,29
7,0,29
8,3,29
9,0,29
0,0,30
1,6,30
2,10,30
3,0,30
4,0,30
5,9,30
6,1,30
7,0,30
8,1,30
9,0,30
0,0,31
1,7,31
2,4,31
3,0,31
4,0,31
5,6,31
6,1,31
7,0,31
8,4,31
9,0,31
0,0,32
1,4,32
2,2,32
3,0,32
4,0,32
5,4,32
6,0,32
7,0,32
8,7,32
9,0,32
0,0,33
1,0,33
2,1,33
3,0,33
4,0,33
5,0,33
6,10,33
7,0,33
8,8,33
9,0,33
0,0,34
1,7,34
2,3,34
3,0,34
4,0,34
5,3,34
6,1,34
7,0,34
8,0,34
9,0,34
0,0,35
1,9,35
2,5,35
3,0,35
4,0,35
5,8,35
6,0,35
7,0,35
8,9,35
9,0,35
0,0,36
1,7,36
2,10,36
3,0,36
4,0,36
5,3,36
6,7,36
7,0,36
8,0,36
9,0,36
0,0,37
1,0,37
2,3,37
3,0,37
4,0,37
5,10,37
6,3,37
7,0,37
8,8,37
9,0,37
0,0,38
1,10,38
2,4,38
3,0,38
4,0,38
5,2,38
6,2,38
7,0,38
8,3,38
9,0,38
0,0,39
1,3,39
2,9,39
3,0,39
4,0,39
5,8,39
6,8,39
7,0,39
8,4,39
9,0,39
0,0,40
1,10,40
2,10,40
3,0,40
4,0,40
5,9,40
6,2,40
7,0,40
8,6,40
9,0,40
0,0,41
1,3,41
2,4,41
3,0,41
4,0,41
5,0,41
6,4,41
7,0,41
8,7,41
9,0,41
0,0,42
1,10,42
2,1,42
3,0,42
4,0,42
5,4,42
6,6,42
7,0,42
8,0,42
9,0,42
0,0,43
1,6,43
2,4,43
3,0,43
4,0,43
5,10,43
6,8,43
7,0,43
8,2,43
9,0,43
0,0,44
1,9,44
2,3,44
3,0,44
4,0,44
5,9,44
6,0,44
7,0,44
8,4,44
9,0,44
0,0,45
1,3,45
2,3,45
3,0,45
4,0,45
5,0,45
6,5,45
7,0,45
8,5,45
9,0,45
0,0,46
1,4,46
2,7,46
3,0,46
4,0,46
5,0,46
6,10,46
7,0,46
8,2,46
9,0,46
0,0,47
1,0,47
2,3,47
3,0,47
4,0,47
5,0,47
6,4,47
7,0,47
8,1,47
9,0,47
0,0,48
1,10,48
2,5,48
3,0,48
4,0,48
5,3,48
6,5,48
7,0,48
8,8,48
9,0,48
0,0,49
1,6,49
2,7,49
3,0,49
4,0,49
5,6,49
6,8,49
7,0,49
8,9,49
9,0,49
0,0,50
1,4,50
2,7,50
3,0,50
4,0,50
5,2,50
6,7,50
7,0,50
8,10,50
9,0,50
0,0,51
1,1,51
